bank,Title,entryDate,Lable,Article
Ctit Group,"Coins Are Right Half the Time, Beating Economists"," Nov 27, 2017",1,"In your editorial ""A Nafta Recession?"" (Nov. 13), you cite a survey of economists in which ""82% said the economy would grow more slowly for the next two years than it would otherwise, and 7% predicted a recession."" The Organization for Economic Cooperation and Development and Citigroup have published data on the inaccuracy of economists' predictions. Tim Hartford in the Financial Times reports Prakash Lougani, an economist with the IMF, wrote in 2001: ""The record of failure to predict recessions is virtually unblemished"" (throughout 1990s). Mr. Hartford reports that Mr. Lougani and a colleague, Hites Ahir, in 2014 continued to report the dismal predictive results of economists internationally. Since only 7% of economists predict recession this may be the more likely event. Once 82% predict a recession, it has either already happened or it won't."
Ctit Group,Loan Growth Hits a Rut," Nov 27, 2017",1,"Loan growth at banks is slowing, casting a cloud over what was supposed to have been a banner year for financial institutions following last November's elections.

The rate of 12-month loan growth at U.S. banks in the third quarter hit its lowest level since the end of 2013, according to data released last week by the Federal Deposit Insurance Corp. That marked the sixth consecutive quarter of decline for this measure of loan growth.

Growth in each of the four major lending categories measured by the FDIC fell. Notably, the growth rate for business lending, an important source of revenues for banks in recent years, plumbed its lowest level since the first quarter of 2011.

While loan balances are still rising, the slowing rate of growth has defied the expectations of bankers. Many have spent the year looking for growth-reviving catalysts that never came and remain puzzled by the slowdown.

Even more surprising is that falling rates of loan growth are occurring as many signals point to a more buoyant U.S. economy. Unemployment continues to decline, gross domestic product growth came in at 3% in the third quarter and business investment is rising.

Tepid rates of loan growth along with continued low long-term interest rates have taken some of the sizzle out of bank stocks. Financial shares were among the chief beneficiaries of last November's election surprise, soaring on hopes of a tax-code overhaul, lighter regulation and stronger economic growth. With progress in these areas uneven during 2017, gains are more muted.

The KBW Nasdaq Bank Index, a measure of 24 of the largest commercial banks, is up about 8% since the start of the year, about half the rise of the S&P 500.

""There was such enthusiasm coming out of the election,"" said Gerard Cuddy, CEO of Beneficial Bancorp Inc., a community lender in Philadelphia. ""I think reality is setting in.""

The slowdown in lending growth raises questions about firms' prospects for 2018, especially given that long-term interest rates haven't moved much, even as short-term ones are climbing. The difference, or spread, between 10-year and two-year U.S. Treasury debt, a rough proxy for bank profitability, is around 0.6 percentage point, its lowest level in a decade.

If loans balances aren't growing briskly and the interest-rate spread is narrow, it is far tougher for banks to increase net-interest income.

""The plane used to be flying at 30,000 feet, now it's at 10,000,"" said Christopher Marinac, director of research at investment-banking boutique FIG Partners. ""There are many banks that are concerned about how much they can grow the loan book in 2018.""

At the biggest U.S. banks, loan growth in the third quarter was spotty. At J.P. Morgan Chase & Co. and Bank of America Corp., total loans grew 3% from a year earlier. Citigroup Inc. posted growth of 2%, while total loans at Wells Fargo & Co. fell 1%.

Loan growth was anemic among many smaller banks. At BB&T Corp., total loans in the third quarter were roughly flat compared with a year earlier. In an earnings call last month, CEO Kelly King said more clients were taking advantage of low rates in the bond markets and paying off their bank loans. Hurricanes in the southern U.S. also had an effect.

He added the bank is purposely restructuring its loan portfolio to focus on more-profitable loans. Still, Mr. King nodded at deeper issues around the downshift, saying ""the mega issue here is that, you know, we've been on a nine-year slow economy.""

An area of particular concern for all banks is business lending. In the third quarter, the 12-month growth rate for business loans fell to 2.48% from 2.79% the prior quarter and 7.67% a year earlier.

The drop-off is even more pronounced based on weekly Federal Reserve data. Commercial and industrial loans, or business lending, in early November were up less than 1% from a year prior, the data show.

From mid-2014 through mid-2016, growth of such loans was regularly in the double digits. This is putting 2017 on track to be the worst year for business-loan growth since 2010, when the economy was still wrestling with the immediate aftermath of the financial crisis.

It remains unclear why. Throughout the year, some banks have said more subdued business lending was due to a lack of clarity from Washington on the fate of initiatives on taxes and health care.

Such worries should eventually fade, though, said Darren King, finance chief at M&T Bank Corp., where loans in the third quarter were down 2% versus a year earlier. ""Business owners are eventually going to get to the point where they say, 'I can't wait to find out what is going to happen in Washington,'"" he said.

Even so, ""that doesn't mean I think we're going back to 2015 or 2016 levels"" of loan growth, Mr. King added.

Some bankers also have cited heightened competition. More business customers are tapping the bond market instead of bank loans to take advantage of low interest rates there, while insurance companies are offering to fund 30-year commercial mortgages and hedge funds are lending to riskier companies.

Others think the slowdown in business lending is a hangover from above-average growth in recent years. Many potential corporate clients are already loaded up on debt, said Kevin Barker, an analyst at Piper Jaffray & Co. That tamps down demand for loans. It also makes some banks wary of lending even more to these companies, he added."
Ctit Group,"World News: At the Riyadh Ritz, Detained Saudis Negotiate for Freedom"," Nov 22, 2017",0,"RIYADH, Saudi Arabia -- Crown Prince Mohammed bin Salman has become a regular visitor to the Ritz-Carlton on the western side of his nation's capital, which is now a luxurious detention center for wealthy Saudis caught up in a widening corruption probe, according to Saudi officials.

Prince Mohammed, who heads the committee leading the investigation, typically travels with only a few trusted advisers, and his visits to the five-star hotel near Riyadh's Diplomatic Quarter and several royal palaces tend to last for a while, Saudi officials said.

""He does spend hours,"" one Saudi official said. ""It is never a quick visit.""

For the past two weeks, detainees at the Ritz have negotiated with Prince Mohammed and his deputies about handing large chunks of their wealth to the state in exchange for their freedom, according to Saudi officials. The amounts detainees are being asked to surrender are commensurate with what they are alleged to have gained improperly, Saudi officials said.

The Saudi government didn't respond to requests to comment.

Designed originally as a palace for hosting foreign dignitaries, the Ritz boasts almost 500 rooms, a sprawling indoor pool, a small bowling alley and a lobby with four statues of rearing stallions.

Room prices range from around $500 a night to more than $6,000 for the ""royal suite."" But regular guests aren't allowed beyond the hotel's high walls at the moment.

Authorities have expanded the medical facilities available on site, after some detainees sought medical care outside the hotel, according to Saudi officials. The decision was made ""to avoid any detainees being transferred to local hospitals and having interaction with people outside the investigation,"" one Saudi official said.

The government set up additional medical facilities within the nearby four-star Courtyard by Marriott, according to Saudi officials.

""The Ritz-Carlton, Riyadh and the Courtyard, Diplomatic Quarter are not operating as traditional hotels for the time being,"" said a spokesman for Marriott International Inc., which operates both hotels.

Rooms aren't available through the Ritz's online booking portal until February.

Those detained at the Ritz include businessmen and members of the royal family, according to Saudi officials. Billionaire Prince al-Waleed bin Talal -- a top investor in Citigroup Inc., Twitter Inc. and Lyft Inc. -- is there, as is Prince Miteb bin Abdullah, the former head of the Saudi National Guard, according to Saudi officials. They couldn't be reached to comment.

The Saudi government has established a special committee to handle forfeitures and to organize the transfer of assets to the Saudi state, according to Saudi officials.

""The investigation committee is aiming for about 70% of the total ill-gotten money, rather than the entire money,"" said a senior Saudi adviser, adding that seizing half of the funds would be a more realistic outcome. A number of the detainees have agreed to deals, according to Saudi officials. Many are still holding out for better terms, they said."
Ctit Group,Business News: Alibaba Sees Growth in The Stores --- Online shopping giant to pay $2.88 billion for a 36% stake in a Wal- Mart China competitor," Nov 21, 2017",0,"HONG KONG -- E-commerce giant Alibaba Group Holding Ltd. is making another big bet on brick-and-mortar, saying it will pay $2.88 billion for a 36% stake in China's second-largest big-box retailer, Sun Art Retail Group Ltd.

Alibaba, which runs the world's largest online shopping operation, sees traditional retail venues as a way to expand its reach into fresh foods while also creating new demand for its Alipay mobile-payment business and its logistics services.

""Physical stores serve an indispensable role during the consumer journey, and should be enhanced through data-driven technology and personalized services in the digital economy,"" Alibaba chief executive officer Daniel Zhang said in a statement.

Alibaba's wager follows online retailer Amazon.com Inc.'s roughly $13.5 billion purchase of U.S. grocer Whole Foods. While Amazon is competing head-on with supermarkets, Alibaba says it is focused instead on joining with retailers.

The rush by Alibaba into physical retail in recent years has already involved investments of at least $5 billion, as it took stakes in companies including shopping-mall operator Intime Retail Group (Co.), Sanjiang Shopping Club Co. and electronics retailer Suning Commerce Group Ltd. Alibaba also runs the small Hema supermarket chain in China, which offers internet purchases and deliveries within the hour for customers nearby.

Hong Kong-listed Sun Art is a French-Taiwanese joint venture that runs more than 450 large supermarket-department stores in China under the RT Mart and Auchan brands. Alibaba is buying both a direct stake and indirect stake. As part of the transaction, Auchan Retail, Sun Art's main shareholder, its raising its stake to 36.2%.

Sun Art gained popularity for customizing its store products and formats to local needs, such as stocking hot sauce on shelves alongside live clams in tanks where shoppers could pick and choose.

Sun Art's 14.6% share of China's hypermarket sector last year made it second only to China Resources Holding Co., at 15.5%, according to industry researcher Euromonitor International. Wal-Mart's China operation is third with 10.2%.

Annual sales growth at Sun Art has been slowing in the past three years, as more Chinese move their grocery shopping online. Revenue grew 4.1% in 2016, compared with 5.0% a year earlier.

One banker involved in the transaction expects more such tie-ups of physical and online retailers, based on conversations his team is having with other Asia Pacific clients.

China International Capital Corp. advised Alibaba on the deal, while Citigroup Inc. advised the Taiwan-based seller."
Ctit Group,Business News: Jacob Lew Prepares Return to Finance," Nov 20, 2017",1,"WASHINGTON -- Former Treasury Secretary Jacob Lew is joining a midmarket New York private-equity firm, adding his name to the long list of high-ranking government officials entering the sector in recent years.

Mr. Lew, who ran the Treasury during President Barack Obama's second term, will become a partner at Lindsay Goldberg LLC, firm executives told The Wall Street Journal. The company has about $15 billion in capital and specializes in investing in family and founder-run businesses.

The move marks a return to finance for Mr. Lew, who worked for about two years at Citigroup Inc., in between cabinet-level stints in the Clinton and Obama administrations. Mr. Lew's predecessor as Treasury secretary, Timothy Geithner, became president of private-equity firm Warburg Pincus LLC shortly after he left the government in 2013.

Like Mr. Geithner, Mr. Lew, 62 years old, plans to play an active role in helping run the firm, a contrast with many public figures who join private-equity companies in an advisory role.

Mr. Lew said that after years in leadership roles in large bureaucracies -- in addition to his stint at the Treasury, he also served as Mr. Obama's White House chief of staff, and director of the White House Office of Management and Budget -- he was drawn to a smaller organization. ""The federal government was quite a labyrinth of activity,"" he said in an interview. ""At this stage of life, I'm looking forward to working on things more circumscribed."""
Ctit Group,World News: Riyadh Seeks Cash Settlements in Corruption Probe," Nov 18, 2017",1,"Authorities in Saudi Arabia are widening a corruption investigation that has reached the upper echelons of the royal family and entangled prominent businessmen who are now being asked to surrender assets in exchange for their freedom, according to two people familiar with the matter.

At least two dozen military officers, including multiple commanders, recently have been rounded up in connection with the Saudi government's sweeping corruption investigation, according to two senior advisers to the Saudi government. Several prominent businessmen also were taken in by Saudi authorities in recent days.

It isn't clear if those people are all accused of wrongdoing, or whether some of them have been called in as witnesses. But their detainment signals an intensifying high-stakes campaign spearheaded by Saudi Arabia's 32-year-old crown prince, Mohammed bin Salman.

Saudi authorities launched a campaign of arrests on Nov. 4 that has swept up some of the kingdom's wealthiest and most powerful people, including royals and cabinet ministers. Among them are billionaire Prince al-Waleed bin Talal, a top investor in companies including Twitter, Citigroup and Lyft, as well as Prince Miteb bin Abdullah, the former head of the National Guard, one of the kingdom's three main security forces. Neither could be reached to comment.

The government said 201 people have been held without charges, but hasn't officially named those people. Nearly 2,000 bank accounts have been frozen, according to three people briefed on the matter.

Saudi authorities said all wealth that can be proved was amassed through corruption would become state property. Authorities are pushing for plea bargains that could see the accused transfer the bulk of their wealth to the state.

The government initially hoped to recover as much as $800 billion it believed was accumulated illegally, much of it kept abroad. Now, authorities believe they can lay claim on assets worth about $300 billion to $400 billion, according to two people.

""They don't want to put these people in jail,"" said one person familiar with the matter. ""They want the money.""

Most of those detained are being held in Riyadh's Ritz Carlton hotel, which is operating as a high-security five-star prison."
Ctit Group,"Banking &amp;amp; Finance: Citigroup's Credit Card Plans Hit Snag --- Bank's stock is up 22% this year, but cracks in a crucial unit stand to complicate the picture"," Nov 14, 2017",1,"One of the bright spots in Citigroup Inc.'s turnaround strategy is starting to lose a little luster.

For years, the New York-based bank has steadily expanded its card business, boosting loans and investing heavily despite problems elsewhere that ranged from headaches in Mexico to regulatory problems that lingered after the financial crisis.

But now, some cracks in the card business have emerged, raising questions just as Chief Executive Michael Corbat has shored up the bank's other issues.

This summer, the bank lowered its return-on-asset projection for Citi-branded credit cards to at least 2.15% from 2.25%. The seemingly narrow slice of one part of Citigroup's sprawling empire is getting a lot of attention, in part because credit cards have been a crucial business for a bank that has spent much of its efforts getting smaller and simpler.

Citigroup is the largest card lender globally by some measures and is the second-biggest in the U.S. by balances, according to industry tracker the Nilson Report, even as it has cut hundreds of U.S. branches since the financial crisis.

Among the factors pressuring the business are more activity on cards that don't tend to generate as much lending income and consumers' increasing demand for rewards.""It's clear that the company has gotten off to a slower-than-expected start"" on meeting card-growth goals, Compass Point analyst Charles Peabody wrote in a note.

The worries contrast with an overall rise in investor expectations. Citigroup's stock has risen 22% in 2017, the highest gain among the big U.S. banks. Mr. Corbat has declared restructuring at the once-troubled bank over, and in July, it unveiled a plan to return more than $60 billion in capital to shareholders by 2020 through dividends and share buybacks.

To sustain that momentum, the bank has made consumer cards a priority. Today, cards make up 24% of Citigroup's total lending -- a far bigger share than its rival big banks, including J.P. Morgan Chase & Co. and Bank of America Corp., which remain focused on mass-market retail banking.

While revenue and profits in the U.S. branded-card business haven't taken off in recent years, the bank's aim was for its investments to start paying off in the second half of this year. However, in the third quarter, North American revenue from Citi-branded cards fell 1% from a year ago. The bank did increase the unit's revenue from the second quarter to the third quarter. Its results compare with a July forecast for 3% annual revenue growth through 2020 in the unit.

In October, Chief Financial Officer John Gerspach told analysts that ""we are seeing slower-than-anticipated revenue growth,"" due largely to increases in ""the competitive dynamics in the rewards offerings in the U.S."" The bank also has noted heavy volume in card partnerships with big merchants, which has resulted in cards that people tend to use for spending rather than borrowing.

Still, Citigroup didn't change its longer-term growth or return forecasts for the branded-card business. Citigroup has sought to boost growth in part by promoting no-interest card borrowing, a tactic that it has long used. Over the past three years through September, the bank has mailed about 1.9 billion offers in the U.S. for credit cards with zero-percent interest for a promotional period, according to market research firm Mintel Group Ltd.

The maneuvers have helped the bank maintain and expand its vast card business. Citigroup in 2015 outbid American Express Co. to win the rights to issue credit cards for shoppers at retail giant Costco Wholesale Corp., adding millions of new accounts and more than $10 billion in loans.

But giving up interest for a period has been costly, especially during a period of rising interest rates that ordinarily would boost the bank's lending revenue. The bank's aim has long been to dial back these offers, increase interest income and lean on other enticements such as its mobile application features or rewards points.

Under global cards head Jud Linville, who joined Citigroup in 2010 from American Express, the bank has invested to boost cards' appeal. It introduced new proprietary cards such as the Double Cash card, made it easier to spend rewards points online and is adding new mobile functions this year. The goal is ""building huge engagement with our customers,"" Mr. Linville said in an interview earlier this year."
Ctit Group,Firm Goes Artsy to Lure Techies," Nov 8, 2017",1,"Walk into the first floor of 131 Sloane St., in London's exclusive Knightsbridge district, and you might assume you are in a lavish private apartment. With its reclaimed wood ceilings, antique industrial lighting and family photomontages, it looks like the home of a hip and successful creative type.

But the property is the new headquarters of Marshall Wace Asset Management, a large hedge-fund operator with $34 billion in assets under management as of Sept. 30.

The look couldn't be more different from the firm's previous home, a sterile collection of polished wood, glass walls and rows of computer screens on the Strand, a main artery in Central London.

According to co-founder Ian Wace, the office change was partly a response to the challenges facing the hedge-fund industry and partly a salvo in the escalating war for top talent.

Hedge-fund managers, particularly technology-intensive ones such as Marshall Wace, are in a fierce battle with the likes of Alphabet Inc.'s Google and Facebook Inc. to hire and retain the world's best data scientists. The work environment is an important part of the package, some believe.

Mr. Wace said the firm's attrition rate is in line with the industry average of around 10% a year. He hopes to cut it in half. ""That would easily pay for the extra costs of the new office,"" he said.

Silicon Valley companies are famous for their brightly colored offices featuring pool tables and beverages on demand. Some financial firms have adopted the same sort of vibe, at least in parts of their business. In the heart of Toronto's financial district, Aviva PLC, the British insurer, recently opened a new office to house some of its digital development team, with bare concrete floors and exposed ceiling ducts, and meeting spaces made from recycled shipping containers painted bright blue.

Duncan Ford, Marshall Wace's chief operating officer, said the firm considered a similar look, but opted for something more ""grown-up.""

""That is not to say Google is not grown-up,"" he said. ""We obviously compete for talent with the Googles and Facebooks, but we are also a different type of firm. We have fiduciary responsibilities and need to show clients that their money is in safe hands.""

While planning the new office, the Marshall Wace team looked at what had been done by some other companies, including McCann, the advertising agency owned by Interpublic Group of Cos. McCann's recently refurbished headquarters on New York's Third Avenue features an open, cafe-style space used for meetings and more general working.

""Our design goes one step further, I suppose, in blending that together with a residential style as well as delivering office functionality,"" Mr. Ford said.

There was an unofficial GBP 500 (about $660) limit on any single design item, though there are a few artworks from Mr. Wace's own collection. These include a pair of 200-year-old life-size wooden elephants that stood outside a Hindu temple in Rajasthan. Mr. Wace bought them and shipped them to the lobby of the new offices for what he proudly says was a total of just GBP 15,000.

Other financial firms have also been rethinking their workspaces in an attempt to break down silos and encourage face-to-face meetings. In the recent revamp of its headquarters in Manhattan's Tribeca neighborhood, Citigroup Inc. shifted to an open-plan layout where not even the CEO has an office door.

One challenge facing hedge-fund firms in particular is convincing staff and investors they will last beyond the involvement of their founders.

Demonstrating a commitment to longevity was one reason Marshall Wace sold a 24.9% stake to KKR & Co., a private-equity firm, in 2015. KKR is itself planning a big office move in 2020, having taken the top 10 floors of the Hudson Yards development in Manhattan.

Although the design phase is some way off, senior KKR executives have recently visited the new Marshall Wace office looking for inspiration.

""With cutting-edge design and technology, Marshall Wace created a physical environment where every detail is meant to feed aspiration, a drive to excel and encourage collaboration,"" said Scott Nuttall, KKR's co-president and co-chief operating officer."
Ctit Group,Saudi Arrests Upset Financial Outlook --- Moves come at a delicate time as crown prince tries to diversify kingdom's economy," Nov 7, 2017",1,"A far-reaching crackdown that extends into Saudi Arabia's business elite has abruptly raised the stakes for global investors just as the kingdom embarks on a campaign to lure foreign capital to help overhaul its oil-dependent economy.

Dozens of princes, senior Saudi officials and prominent businessmen were arrested over the weekend as part of what the government cast as an effort to root out corruption. Prince al-Waleed bin Talal, a billionaire whose firm holds significant stakes in Apple Inc., Citigroup Inc. and Twitter Inc., was among those detained. An attempt to reach him through the firm, Kingdom Holding Co., was unsuccessful.

The crackdown comes at a delicate moment for Saudi Arabia. Crown Prince Mohammed bin Salman, the 32-year-old son of King Salman, is leading efforts to diversify the economy. Central to that strategy are plans for an initial public offering of shares in the state-owned oil giant, known as Aramco. The kingdom is also maneuvering for regional influence with rival Iran, and mired in a war in neighboring Yemen.

Now, investors confront distinct potential outcomes from the crackdown: a Saudi business environment that is less opaque and easier for outsiders to navigate, or an increased risk of political upheaval or legal uncertainty.

""What's confusing for Western investors is that [the purge] is achieving modernization and Westernization through some very aggressive means,"" said Christopher Johnson, chairman of the American Business Group of Riyadh, which promotes and represents U.S. business interests in the kingdom.

President Donald Trump tweeted from Asia on Tuesday that he has great confidence in King Salman and the crown prince, saying ""they know exactly what they are doing."" He added in another tweet that ""Some of those they are harshly treating have been ""milking"" their country for years!""

King Salman shook up the kingdom's succession plan in June by removing the then-crown prince and elevating his son. Since then, the kingdom has taken steps to show it is opening up to the world.

In September, the king issued a decree giving Saudi women the right to drive, a move that was condemned by Saudi conservatives and welcomed by the U.S. Two weeks ago, Prince Mohammed presided over an investment conference dubbed ""Davos in the Desert"" that attracted luminaries from the global financial community such as Christine Lagarde, the head of the International Monetary Fund, and billionaire entrepreneur Richard Branson. At the event, the crown prince called for Saudi Arabia to return to a more tolerant form of Islam.

Mr. Johnson and some foreign investors predicted the Saudi government's crackdown would result in a more open and welcoming business environment in Saudi Arabia.

""There are always powerful vested interests, which resist change and which need to be dislodged in order to effect change,"" said Jan Dehn, head of research at fund manager Ashmore Group in London, which opened a local asset management office in Riyadh in 2014. ""Mohammed Bin Salman is going to change Saudi Arabia more than people imagine -- and for the better.""

Yet the crackdown is touching prominent members of Saudi society. Among the detainees is Ibrahim Al-Assaf, the country's former finance minister and a member of the Aramco board of directors, according to Saudi officials. An attempt to reach Mr. Al-Assaf through Aramco was unsuccessful.

And it could create new potential sources of uncertainty for investors.

""The speed and breadth of the clampdown could deal a blow to the economy,"" Jason Tuvey, a Middle East analyst at Capital Economics, a London-based economic-research firm, wrote in a note to clients on Monday. ""Firms might delay investment plans as they await to see if they will get caught up in the allegations.""

There are signs that investors are wary. Oil prices surged to two-year highs on Monday, with U.S. crude prices up 3.1% to $57.35 a barrel. Saudi Arabia is the world's top crude exporter.

The cost to insure against the risk of default in Saudi Arabia and elsewhere in the Middle East rose on Monday, as measured by the market for credit default swaps.

""It's a lot of change really fast in a region that isn't really prone to a lot of quick change. And that causes a lot of uncertainty,"" said Jason Trujillo, a portfolio manager at Invesco Ltd. in Atlanta.

Invesco has been broadly negative on the Middle East since several countries including Saudi Arabia cut off diplomatic relations with the tiny Gulf emirate of Qatar in June, Mr. Trujillo said.

Many executives whose companies are active in Saudi Arabia were reluctant to discuss the arrests for what they said was fear of losing business in the kingdom in the near future.

Kingdom Holding, whose shares have fallen sharply over Sunday and Monday, said on Sunday it was ""business as usual"" and that it still has the government's support."
Ctit Group,Bank Investors Made a Mint on Crisis," Nov 7, 2017",1,"The U.S. banking industry is booming -- a development that is bringing windfall gains to a small group of investors who had the gumption to buy esoteric bank securities when the outlook for financial firms and the economy was far less clear cut.

After years of banks grappling with the fallout of the crisis and low interest rates, the bets on what are known as TARP warrants are finally paying off. The investors, who include fund managers John Paulson and Bill Miller, bought these warrants for bank stocks secondhand, after they were initially issued to the government during the 2008 bank bailout.

The investors' unpopular view at the time was that banks and their stock prices would recover to precrisis levels. By betting on warrants, a high-octane security similar to an option, the fund managers basically doubled down on that opinion, risking their entire investment if it didn't happen by 2018 or 2019.

""If the subprime credit-default swaps were this asymmetric, beautiful investment to express what was wrong with American capitalism . . . , these securities are the opposite,"" said Django Davidson, a founding partner at London-based Hosking Partners LLP, which bought about $200 million of the warrants for banks including Bank of America Corp.

The warrants date to the financial crisis, when the government invested about $250 billion in about 700 banks as a part of the Troubled Asset Relief Program. As part of TARP, which aimed to shore up bank capital and restart lending, the government got warrants to buy shares in the banks. The Treasury Department started getting rid of the warrants in 2009, a process that included selling some off to investors.

For years after the crisis, many investors hated bank stocks, comparing them to heavily regulated utilities no longer able to take risks and grow. The warrants also slumped; some of Citigroup Inc.'s fell so much they were delisted from the New York Stock Exchange in 2016.

But since the November 2016 presidential election, bank stocks have helped lead a broad stock-market rally tied to renewed confidence and hopes of tax and regulatory overhaul. Meanwhile, banks' crisis-era legal problems have subsided and interest rates have started to rise, making lending more profitable.

The change in sentiment has made the warrants a turnaround story. Some from big banks have surged 65% to 1,440% since the election, easily outpacing the 36% rally in the KBW Nasdaq Bank stock index. One group of Bank of America's warrants, once left for dead, are up the most in the group. With the recent jump, J.P. Morgan Chase & Co. warrants are up 426% since they started trading in late 2009, compared with a 146% increase for the bank's stock.

The warrants give investors the right to buy a stock at a predetermined price. If the stock rises far above that ""strike price,"" the warrant is like a winning lottery ticket. If it stays below that price, the warrant ends up worthless.

While exchange-traded stock options usually go out only a couple of years, warrants often last longer. ""We were lucky it was a 10-year warrant,"" said Philippe Jabre, a Geneva-based fund manager who bought warrants in SunTrust Banks Inc., among others. He said the recovery took longer than he had expected.

""There were good days and other days when I felt like crying,"" said John Hadwen, a portfolio manager at CI Investments' Signature Global Asset Management, which has held TARP warrants since 2010. When his J.P. Morgan warrants fell in value after the bank's 2012 London whale trading loss, Mr. Hadwen pushed to buy the rest available, but the Canadian asset manager's chief investment officer said no.

Mr. Davidson said he learned about the warrants a few years ago at an Omaha, Neb., bar where he was mingling with attendees at Berkshire Hathaway's annual meeting. Warren Buffett, the conglomerate's chairman, got warrants unrelated to TARP as a part of Berkshire's crisis-era investments in Goldman Sachs Group and Bank of America.

The Miller Opportunity Trust mutual fund said it has notched gains of about $77 million on a $24 million investment in J.P. Morgan warrants.

When the fund bought the warrants, ""the market hated financials and was pricing in pretty dire scenarios,"" said Samantha McLemore, co-manager on the portfolio with Mr. Miller.

Mr. Paulson, who made billions of dollars betting against subprime mortgages a decade ago, turned a roughly $100 million profit on about $600 million in bank warrant investments, according to a person familiar with the matter. But he could have earned more if his funds hadn't sold their J.P. Morgan warrants in 2012. Mr. Miller's fund similarly lost out by selling Bank of America warrants around that time, though Ms. McLemore said the fund has done well by hanging on to the bank's common stock.

Investors got the warrants only because the U.S. government didn't want to hold on to them. By late 2009, the biggest banks had paid TARP money back and the Treasury started auctioning the warrants. By the end of 2012, it had made about $5 billion auctioning them off to investors. In other cases, Treasury sold the warrants back to the banks.

That has transferred the rest of the gains to private hands. The TARP warrants still trading in Bank of America, J.P. Morgan, Wells Fargo & Co. and PNC Financial Services Group Inc., for example, are worth more than $2 billion more on paper than when the government sold. At banks such as J.P. Morgan that hit their strike price a while ago, investors have likely netted additional profits by exercising the warrants.

New York-based Maltese Capital Management bought 2.2 million TARP warrants in Salt Lake City-based Zions Bancorp. from the government for about $1.35 apiece and held on to most of them. Today, they are worth about $11.15 a share, a return of around 726%. ""We'd like a few more of those,"" said Terry Maltese, the firm's founder."
Ctit Group,World News: Detained Prince Has Backed U.S. Firms --- Prince al-Waleed gained prominence after buying shares of Citigroup predecessor," Nov 6, 2017",1,"NEW YORK -- The arrest this weekend of billionaire tycoon Prince al-Waleed bin Talal hobbles an investor who has straddled east and west, backing some of the world's best-known companies while also encouraging U.S. business to invest in the Middle East.

The Saudi Arabian prince was among dozens of people who were arrested as part of a crackdown on corruption in the kingdom, as King Salman and his son Crown Prince Mohammed bin Salman move to consolidate power. Prince al-Waleed hasn't been charged, but could face allegations of money laundering and illegal arms sales, people familiar with the matter said.

Representatives for Prince al-Waleed and his investment company, Kingdom Holding Co., didn't respond to requests to comment.

On Sunday, shares of Kingdom, which trade on the Saudi stock exchange, fell 7.6%.

In a statement posted on the Saudi stock exchange's website on Sunday, Kingdom Holding's chief executive said the company has received the support of the government and would continue to operate ""business as usual.""

Prince al-Waleed has been a familiar figure in Western business and financial circles for more than a quarter of a century, having backed iconic U.S. companies such as General Motors Co., Apple Inc. and Citigroup Inc. More recently, he has invested heavily in young technology companies including Twitter Inc. and Lyft Inc.

One of the prince's most high-profile partnerships is with Microsoft Corp. co-founder Bill Gates. The investment firms of the two billionaires teamed up a decade ago to take luxury hotel operator Four Seasons Holdings Inc. private for $3.8 billion. Four Seasons spokeswoman Sarah Tuite said it was ""business as usual"" and that the ""matter does not affect the day-to-day operations of Four Seasons Hotels and Resorts.""

The prince shot to prominence in the U.S. in 1991 after buying shares of a predecessor to Citigroup. The deal eventually made him one of the bank's largest individual shareholders. He remained a major backer of Citi as the firm's shares plunged in value during the 2008 financial crisis and participated in an international capital raise by the bank during that time.

In March, Prince al-Waleed hosted a dinner for Citigroup Chief Executive Michael Corbat in the Saudi capital, where they discussed ""future plans of the company,"" according to Kingdom's website. One month later, the bank received approval from Saudi Arabia's regulator to operate a capital-markets business in the kingdom after a long absence.

The prince's desert tent in Riyadh is a regular stop for U.S. company executives, investors and foreign dignitaries. Many of these events are documented on Kingdom's website.

Last month, Goldman Sachs Group Inc. Chief Executive Lloyd Blankfein and other senior bank executives met Prince al-Waleed in Riyadh, according to the website. Goldman advised Kingdom on its deal to acquire a stake in Banque Saudi Fransi from Credit Agricole SA.

In 2015, executives from Snap Inc. including CEO Evan Spiegel met with the prince about ""future potential business cooperation"" while the disappearing-message app company was in the midst of a funding round. However, Kingdom never invested in Snap as a private company and didn't purchase shares in its public offering, according to a person familiar with the matter.

The prince has also been a longtime investor in Rupert Murdoch's media empire, first investing in News Corp in 1997 and eventually becoming the second-largest holder of voting shares outside of the Murdoch family.

He remained a supporter of Mr. Murdoch's, even as News Corp became embroiled in a phone hacking scandal in London and was subsequently split into two companies -- News Corp and 21st Century Fox -- in 2013. Two years later, he sold the bulk of his stake in News Corp, which owns The Wall Street Journal. He is also no longer a major shareholder in Fox.

In 2010, News Corp paid $70 million for a stake in Rotana Group, a Middle Eastern entertainment company primarily owned by Prince al-Waleed's firm. Since the split, Fox has continued to own a small stake in Rotana.

That year, the prince bought a $500 million stake in GM during the carmaker's initial public offering."
